Flamboyant Road, Reduite Beach Avenue	flamboyant road , reduite beach avenue	1
Queen's Highway	queen 's highway	1
Dragonara Road	dragonara road	2
Number One Bay St	number one bay st	1
Portomaso	portomaso	1
R Loria Street Qawra	r loria street qawra	1
C/ Alejo Martinez, El Batey	c / alejo martinez , el batey	1
Gorg Borg Olivier Street	gorg borg olivier street	1
Grace Bay Rd	grace bay rd	1
Kings Road, Lucaya	kings road , lucaya	1
1 Kent Avenue	1 kent avenue	1
1 Harbour Road	1 harbour road	1
Norman Manley Blvd	norman manley blvd	1
Rodney Bay Village	rodney bay village	2
Mayhoe Avenue	mayhoe avenue	1
Triq il Maskli	triq il maskli	1
Dolmen Street	dolmen street	1
Playa Tamarindo	playa tamarindo	1
Autopista General Canas	autopista general canas	1
High Street	high street	1
Sobre Autopista General Cañas	sobre autopista general cañas	1
Qawra Coast Road	qawra coast road	1
Soufriere	soufriere	1
Qawra Bay	qawra bay	1
Ameer Ahmed Magu	ameer ahmed magu	1
The Strand	the strand	1
BAYFRONT AVENUE,10	bayfront avenue ,10	1
Jolly Hall at Queens Highway	jolly hall at queens highway	1
Norman Manley Boulevard	norman manley boulevard	1
Dobbie Street, Paceville	dobbie street , paceville	1
M. Melaa, Keneree Magu	m. melaa , keneree magu	1
Mirihi Magu	mirihi magu	1
Old Road, White River Bay	old road , white river bay	1
Front Street	front street	1
West Bay Street	west bay street	1
1 Fourth Street	1 fourth street	1
M. Aazamaan Villa	m. aazamaan villa	1
Ziyaaraiy Magu	ziyaaraiy magu	1
Pillory Beach	pillory beach	1
Avenida Winston Churchill	avenida winston churchill	1
Calle Corona	calle corona	1
Duke Street	duke street	1
West End Road	west end road	1
Aabaadhee Hingun Road	aabaadhee hingun road	1
Avenida Las Américas, Km27	avenida las américas , km27	1
Rodney Bay, Gros Islet Hwy	rodney bay , gros islet hwy	1
Avenida Escazu	avenida escazu	1
Jolly Hall	jolly hall	1
H.Maagala, Meheli Goalhi	h.maagala , meheli goalhi	1
New Dock Rd	new dock rd	1
10026 Nirolhu Magu	10026 nirolhu magu	1
Main Road A1	main road a1	1
Mirihi Magu Road	mirihi magu road	1
Beach Front	beach front	1
Lainoofaru Magu	lainoofaru magu	1
